"LSOA11CD","christian","buddhist","hindu","jewish","muslim","sikh","other","none","not_stated","total","muslim_decile"
"E01012325",1020,2,2,6,0,4,9,343,70,1456,1
"E01012314",891,1,9,0,0,0,3,376,84,1364,1
"E01012363",862,3,5,1,0,1,10,376,76,1334,1
"E01012317",996,5,0,1,0,10,2,286,70,1370,1
"E01012345",1069,1,1,1,0,2,2,297,107,1480,1
"E01020596",1235,1,0,0,0,0,1,343,99,1679,1
"E01020635",938,2,0,0,0,0,5,350,84,1379,1
"E01020654",1312,4,0,1,0,0,3,328,98,1746,1
"E01020663",1363,0,0,0,0,5,5,372,102,1847,1
"E01020638",1107,3,0,1,0,6,7,338,100,1562,1
"E01020653",1049,3,0,0,0,0,7,401,89,1549,1
"E01020648",1179,3,0,1,0,5,14,567,110,1879,1
"E01020670",1114,2,2,0,0,0,4,333,104,1559,1
"E01020671",847,0,3,0,0,0,6,396,94,1346,1
"E01020681",1021,3,0,0,0,4,4,356,79,1467,1
"E01020726",899,2,10,0,0,3,2,260,53,1229,1
"E01020706",1364,3,0,0,0,0,8,352,113,1840,1
"E01020700",1180,1,0,0,0,4,10,297,83,1575,1
"E01033202",910,1,0,0,0,0,3,197,55,1166,1
"E01020747",923,1,0,0,0,0,1,308,65,1298,1
"E01020775",1278,2,1,1,0,2,2,334,92,1712,1
"E01020751",1317,1,0,0,0,4,7,429,104,1862,1
"E01020754",1049,6,0,1,0,0,2,201,64,1323,1
"E01020745",928,2,0,1,0,0,1,329,86,1347,1
"E01020753",1549,3,0,0,0,0,2,311,96,1961,1
"E01020758",943,1,0,0,0,4,4,407,82,1441,1
"E01020765",1190,2,0,0,0,0,3,429,89,1713,1
"E01020760",1371,1,0,0,0,0,1,187,74,1634,1
"E01020764",947,3,0,1,0,0,4,344,71,1370,1
"E01020768",1148,1,4,0,0,0,8,344,86,1591,1
"E01020734",886,0,0,0,0,0,1,273,65,1225,1
"E01020735",1073,1,0,1,0,0,2,275,64,1416,1
"E01020770",883,0,0,0,0,1,2,269,73,1228,1
"E01020771",752,5,0,0,0,0,2,235,56,1050,1
"E01020779",1335,5,5,0,0,2,3,243,64,1657,1
"E01020737",1109,0,0,0,0,6,1,222,57,1395,1
"E01020790",1012,0,0,0,0,4,2,247,63,1328,1
"E01020794",1419,1,0,2,0,8,5,249,96,1780,1
"E01020817",1032,0,0,0,0,0,4,185,58,1279,1
"E01020818",1128,0,1,0,0,0,10,258,80,1477,1
"E01020819",763,0,0,1,0,4,2,233,75,1078,1
"E01020837",1346,2,0,0,0,3,5,259,119,1734,1
"E01020820",1116,1,0,0,0,1,5,311,82,1516,1
"E01020797",1842,0,2,0,0,5,9,481,162,2501,1
"E01020798",1138,4,0,0,0,0,2,255,85,1484,1
"E01020808",1091,1,0,0,0,0,2,249,78,1421,1
"E01020822",1442,0,0,0,0,0,2,299,91,1834,1
"E01020801",1158,1,0,0,0,5,6,298,80,1548,1
"E01020838",1212,0,0,0,0,0,4,390,124,1730,1
"E01020839",1196,6,0,1,0,0,3,343,88,1637,1
"E01020815",898,2,2,0,0,0,2,249,65,1218,1
"E01020847",976,0,0,5,0,1,6,489,91,1568,1
"E01020825",1127,2,0,0,0,0,5,350,85,1569,1
"E01020831",1014,0,0,0,0,0,5,329,91,1439,1
"E01020834",839,5,0,0,0,0,16,343,80,1283,1
"E01020826",1106,0,3,1,0,0,3,311,86,1510,1
"E01020864",1617,2,1,0,0,0,5,308,135,2068,1
"E01020863",998,2,1,0,0,0,1,299,89,1390,1
"E01020866",755,3,0,1,0,0,2,154,86,1001,1
"E01020853",1226,1,4,0,0,0,3,223,71,1528,1
"E01020889",1050,1,0,1,0,0,4,324,101,1481,1
"E01020890",1280,3,0,0,0,0,7,348,139,1777,1
"E01020892",848,1,2,0,0,0,2,187,64,1104,1
"E01020894",911,3,0,0,0,0,1,265,71,1251,1
"E01020898",1075,3,0,0,0,8,8,307,130,1531,1
"E01020879",1677,3,4,2,0,0,7,340,113,2146,1
"E01020874",1099,1,5,0,0,0,0,295,68,1468,1
"E01020882",1145,3,0,0,0,0,2,229,81,1460,1
"E01020896",1114,0,0,1,0,6,4,181,74,1380,1
"E01020909",1139,1,0,0,0,0,6,440,99,1685,1
"E01011969",1112,2,4,0,0,0,1,178,76,1373,1
"E01011970",921,1,0,0,0,0,0,161,73,1156,1
"E01032540",706,1,0,0,0,0,4,222,66,999,1
"E01033466",1267,2,3,0,0,1,2,562,145,1982,1
"E01011987",964,1,0,0,0,0,3,358,76,1402,1
"E01011981",1123,2,0,1,0,0,1,407,132,1666,1
"E01011984",987,1,0,0,0,0,0,188,74,1250,1
"E01011985",874,2,0,0,0,0,0,210,83,1169,1
"E01011997",1576,2,0,0,0,0,4,345,114,2041,1
"E01011961",1021,2,0,0,0,1,0,327,91,1442,1
"E01011979",948,0,5,0,0,0,3,470,121,1547,1
"E01011960",1175,1,0,0,0,0,3,126,89,1394,1
"E01027366",1078,4,1,0,0,0,8,311,123,1525,1
"E01027364",1489,3,0,2,0,0,6,410,144,2054,1
"E01027370",1307,5,1,1,0,3,1,393,126,1837,1
"E01027371",1280,6,0,0,0,0,9,396,143,1834,1
"E01027365",1586,5,2,0,0,0,9,449,142,2193,1
"E01027369",1096,2,0,0,0,0,9,327,113,1547,1
"E01027373",1404,4,0,0,0,0,10,432,153,2003,1
"E01027378",758,2,0,0,0,0,2,207,95,1064,1
"E01027379",1007,7,0,0,0,0,3,267,90,1374,1
"E01027390",1480,1,0,1,0,0,5,339,157,1983,1
"E01027429",1169,3,0,1,0,0,15,549,112,1849,1
"E01027437",1305,0,0,0,0,1,3,375,133,1817,1
"E01027400",922,1,1,0,0,2,1,359,74,1360,1
"E01027417",1141,2,1,0,0,0,7,296,78,1525,1
"E01027420",1020,1,0,0,0,0,2,306,83,1412,1
"E01027421",979,1,0,0,0,0,10,384,96,1470,1
"E01027434",956,2,0,0,0,1,4,367,70,1400,1
"E01027435",949,5,0,0,0,0,7,380,90,1431,1
